LAMMPS data file — 125 H2O air/water slab  15.5215 × 15.5215 × 46.5646 Å  z_mult=3.0  (generated by build_slab.py)

375 atoms
2 atom types
250 bonds
1 bond types
125 angles
1 angle types

0 15.521529 xlo xhi
0 15.521529 ylo yhi
0 46.564587 zlo zhi

Masses

1 15.9994
2 1.00794

Atoms # full

   222     74 2   0.5564     9.59500000    11.88200000    16.79252900 0 0 0
   223     75 1  -1.1128     9.82400000     8.02700000    29.98952900 0 0 0
   224     75 2   0.5564    10.40700000     8.83900000    29.95652900 0 0 0
   225     75 2   0.5564    10.39600000     7.20800000    30.03252900 0 0 0
   226     76 1  -1.1128     9.94400000     8.57400000    22.96452900 0 0 0
   227     76 2   0.5564    10.74400000     7.97400000    22.98252900 0 0 0
   228     76 2   0.5564    10.18200000     9.46000000    23.36152900 0 0 0
   229     77 1  -1.1128     1.02700000    14.11600000    21.90352900 0 0 0
   230     77 2   0.5564     1.89100000    13.89400000    22.35452900 0 0 0
   231     77 2   0.5564     1.00000000    13.68400000    21.00252900 0 0 0
   232     78 1  -1.1128    11.61400000     5.85400000    23.61052900 0 0 0
   233     78 2   0.5564    12.28500000     6.08000000    24.31752900 0 0 0
   234     78 2   0.5564    11.26700000     4.93000000    23.76452900 0 0 0
   235     79 1  -1.1128     3.95800000     1.55500000    26.76652900 0 0 0
   236     79 2   0.5564     4.66000000     0.99800000    26.32352900 0 0 0
   237     79 2   0.5564     3.15100000     0.99400000    26.94852900 0 0 0
   238     80 1  -1.1128    11.44500000     9.01600000    25.17152900 0 0 0
   239     80 2   0.5564    12.13100000     9.74200000    25.20852900 0 0 0
   240     80 2   0.5564    11.87200000     8.16800000    24.85952900 0 0 0
   241     81 1  -1.1128     3.82500000     4.22600000    23.96552900 0 0 0
   242     81 2   0.5564     3.07000000     4.88300000    23.96452900 0 0 0
   243     81 2   0.5564     4.69500000     4.71700000    23.96352900 0 0 0
   244     82 1  -1.1128     6.31600000    11.98700000    25.87452900 0 0 0
   245     82 2   0.5564     7.14100000    12.28900000    26.35252900 0 0 0
   246     82 2   0.5564     6.55800000    11.29600000    25.19452900 0 0 0
   247     83 1  -1.1128    13.44100000     2.75100000    21.42052900 0 0 0
   248     83 2   0.5564    14.38200000     2.53200000    21.16152900 0 0 0
   249     83 2   0.5564    12.80900000     2.17000000    20.90952900 0 0 0
   250     84 1  -1.1128     7.39700000     3.26700000    16.94852900 0 0 0
   251     84 2   0.5564     8.13900000     2.74800000    16.52252900 0 0 0
